scraped_at,row,seat,status,is_wheelchair,description
2026-04-28T12:08:20Z,K,27,sold,False,BFI IMAX K 27
2026-04-28T12:08:20Z,K,26,sold,False,BFI IMAX K 26
2026-04-28T12:08:20Z,P,29,available,True,BFI IMAX P 29
2026-04-28T12:08:20Z,P,28,available,True,BFI IMAX P 28
2026-04-28T12:08:20Z,P,4,available,True,BFI IMAX P 4
2026-04-28T12:08:20Z,P,3,available,True,BFI IMAX P 3
2026-04-28T12:08:20Z,A,7,available,False,BFI IMAX A 7
2026-04-28T12:08:20Z,A,6,available,False,BFI IMAX A 6
2026-04-28T12:08:20Z,A,5,available,False,BFI IMAX A 5
2026-04-28T12:08:20Z,A,4,available,False,BFI IMAX A 4
2026-04-28T12:08:20Z,A,3,available,False,BFI IMAX A 3
2026-04-28T12:08:20Z,A,2,available,False,BFI IMAX A 2
2026-04-28T12:08:20Z,A,1,available,False,BFI IMAX A 1
2026-04-28T12:08:20Z,B,36,available,False,BFI IMAX B 36
2026-04-28T12:08:20Z,B,35,available,False,BFI IMAX B 35
2026-04-28T12:08:20Z,B,34,available,False,BFI IMAX B 34
2026-04-28T12:08:20Z,B,33,available,False,BFI IMAX B 33
2026-04-28T12:08:20Z,B,32,available,False,BFI IMAX B 32
2026-04-28T12:08:20Z,B,31,available,False,BFI IMAX B 31
2026-04-28T12:08:20Z,B,30,available,False,BFI IMAX B 30
2026-04-28T12:08:20Z,B,29,available,False,BFI IMAX B 29
2026-04-28T12:08:20Z,B,28,available,False,BFI IMAX B 28
2026-04-28T12:08:20Z,B,27,available,False,BFI IMAX B 27
2026-04-28T12:08:20Z,B,26,available,False,BFI IMAX B 26
2026-04-28T12:08:20Z,B,25,available,False,BFI IMAX B 25
2026-04-28T12:08:20Z,B,24,available,False,BFI IMAX B 24
2026-04-28T12:08:20Z,B,23,available,False,BFI IMAX B 23
2026-04-28T12:08:20Z,B,22,available,False,BFI IMAX B 22
2026-04-28T12:08:20Z,B,21,available,False,BFI IMAX B 21
2026-04-28T12:08:20Z,B,20,available,False,BFI IMAX B 20
2026-04-28T12:08:20Z,B,19,available,False,BFI IMAX B 19
2026-04-28T12:08:20Z,B,18,available,False,BFI IMAX B 18
2026-04-28T12:08:20Z,B,17,available,False,BFI IMAX B 17
2026-04-28T12:08:20Z,B,16,available,False,BFI IMAX B 16
2026-04-28T12:08:20Z,B,15,available,False,BFI IMAX B 15
2026-04-28T12:08:20Z,B,14,available,False,BFI IMAX B 14
2026-04-28T12:08:20Z,B,13,available,False,BFI IMAX B 13
2026-04-28T12:08:20Z,B,12,available,False,BFI IMAX B 12
2026-04-28T12:08:20Z,B,11,available,False,BFI IMAX B 11
2026-04-28T12:08:20Z,B,10,available,False,BFI IMAX B 10
2026-04-28T12:08:20Z,B,9,available,False,BFI IMAX B 9
2026-04-28T12:08:20Z,B,8,available,False,BFI IMAX B 8
2026-04-28T12:08:20Z,B,7,available,False,BFI IMAX B 7
2026-04-28T12:08:20Z,B,6,available,False,BFI IMAX B 6
2026-04-28T12:08:20Z,B,5,available,False,BFI IMAX B 5
2026-04-28T12:08:20Z,B,4,available,False,BFI IMAX B 4
2026-04-28T12:08:20Z,B,3,available,False,BFI IMAX B 3
2026-04-28T12:08:20Z,B,2,available,False,BFI IMAX B 2
2026-04-28T12:08:20Z,B,1,available,False,BFI IMAX B 1
2026-04-28T12:08:20Z,C,36,available,False,BFI IMAX C 36
2026-04-28T12:08:20Z,C,35,available,False,BFI IMAX C 35
2026-04-28T12:08:20Z,C,34,available,False,BFI IMAX C 34
2026-04-28T12:08:20Z,C,33,available,False,BFI IMAX C 33
2026-04-28T12:08:20Z,C,32,available,False,BFI IMAX C 32
2026-04-28T12:08:20Z,C,31,available,False,BFI IMAX C 31
2026-04-28T12:08:20Z,C,30,available,False,BFI IMAX C 30
2026-04-28T12:08:20Z,C,29,available,False,BFI IMAX C 29
2026-04-28T12:08:20Z,C,28,available,False,BFI IMAX C 28
2026-04-28T12:08:20Z,C,27,available,False,BFI IMAX C 27
2026-04-28T12:08:20Z,C,26,available,False,BFI IMAX C 26
2026-04-28T12:08:20Z,C,25,available,False,BFI IMAX C 25
2026-04-28T12:08:20Z,C,24,available,False,BFI IMAX C 24
2026-04-28T12:08:20Z,C,23,available,False,BFI IMAX C 23
2026-04-28T12:08:20Z,C,22,available,False,BFI IMAX C 22
2026-04-28T12:08:20Z,C,21,available,False,BFI IMAX C 21
2026-04-28T12:08:20Z,C,20,available,False,BFI IMAX C 20
2026-04-28T12:08:20Z,C,19,available,False,BFI IMAX C 19
2026-04-28T12:08:20Z,C,18,available,False,BFI IMAX C 18
2026-04-28T12:08:20Z,C,17,available,False,BFI IMAX C 17
2026-04-28T12:08:20Z,C,16,available,False,BFI IMAX C 16
2026-04-28T12:08:20Z,C,15,available,False,BFI IMAX C 15
2026-04-28T12:08:20Z,C,14,available,False,BFI IMAX C 14
2026-04-28T12:08:20Z,C,13,available,False,BFI IMAX C 13
2026-04-28T12:08:20Z,C,12,available,False,BFI IMAX C 12
2026-04-28T12:08:20Z,C,11,available,False,BFI IMAX C 11
2026-04-28T12:08:20Z,C,10,available,False,BFI IMAX C 10
2026-04-28T12:08:20Z,C,9,available,False,BFI IMAX C 9
2026-04-28T12:08:20Z,C,8,available,False,BFI IMAX C 8
2026-04-28T12:08:20Z,C,7,available,False,BFI IMAX C 7
2026-04-28T12:08:20Z,C,6,available,False,BFI IMAX C 6
2026-04-28T12:08:20Z,C,5,available,False,BFI IMAX C 5
2026-04-28T12:08:20Z,C,4,available,False,BFI IMAX C 4
2026-04-28T12:08:20Z,C,3,available,False,BFI IMAX C 3
2026-04-28T12:08:20Z,C,2,available,False,BFI IMAX C 2
2026-04-28T12:08:20Z,C,1,available,False,BFI IMAX C 1
2026-04-28T12:08:20Z,D,37,available,False,BFI IMAX D 37
2026-04-28T12:08:20Z,D,36,available,False,BFI IMAX D 36
2026-04-28T12:08:20Z,D,35,available,False,BFI IMAX D 35
2026-04-28T12:08:20Z,D,34,available,False,BFI IMAX D 34
2026-04-28T12:08:20Z,D,33,available,False,BFI IMAX D 33
2026-04-28T12:08:20Z,D,32,available,False,BFI IMAX D 32
2026-04-28T12:08:20Z,D,31,available,False,BFI IMAX D 31
2026-04-28T12:08:20Z,D,30,available,False,BFI IMAX D 30
2026-04-28T12:08:20Z,D,29,available,False,BFI IMAX D 29
2026-04-28T12:08:20Z,D,28,available,False,BFI IMAX D 28
2026-04-28T12:08:20Z,D,27,available,False,BFI IMAX D 27
2026-04-28T12:08:20Z,D,26,available,False,BFI IMAX D 26
2026-04-28T12:08:20Z,D,25,available,False,BFI IMAX D 25
2026-04-28T12:08:20Z,D,24,available,False,BFI IMAX D 24
2026-04-28T12:08:20Z,D,23,available,False,BFI IMAX D 23
2026-04-28T12:08:20Z,D,22,available,False,BFI IMAX D 22
2026-04-28T12:08:20Z,D,21,available,False,BFI IMAX D 21
2026-04-28T12:08:20Z,D,20,available,False,BFI IMAX D 20
2026-04-28T12:08:20Z,D,19,available,False,BFI IMAX D 19
2026-04-28T12:08:20Z,D,18,available,False,BFI IMAX D 18
2026-04-28T12:08:20Z,D,17,available,False,BFI IMAX D 17
2026-04-28T12:08:20Z,D,16,available,False,BFI IMAX D 16
2026-04-28T12:08:20Z,D,15,available,False,BFI IMAX D 15
2026-04-28T12:08:20Z,D,14,available,False,BFI IMAX D 14
2026-04-28T12:08:20Z,D,13,available,False,BFI IMAX D 13
2026-04-28T12:08:20Z,D,12,available,False,BFI IMAX D 12
2026-04-28T12:08:20Z,D,11,available,False,BFI IMAX D 11
2026-04-28T12:08:20Z,D,10,available,False,BFI IMAX D 10
2026-04-28T12:08:20Z,D,9,available,False,BFI IMAX D 9
2026-04-28T12:08:20Z,D,8,available,False,BFI IMAX D 8
2026-04-28T12:08:20Z,D,7,available,False,BFI IMAX D 7
2026-04-28T12:08:20Z,D,6,available,False,BFI IMAX D 6
2026-04-28T12:08:20Z,D,5,available,False,BFI IMAX D 5
2026-04-28T12:08:20Z,D,4,available,False,BFI IMAX D 4
2026-04-28T12:08:20Z,D,3,available,False,BFI IMAX D 3
2026-04-28T12:08:20Z,D,2,available,False,BFI IMAX D 2
2026-04-28T12:08:20Z,D,1,available,False,BFI IMAX D 1
2026-04-28T12:08:20Z,E,37,available,False,BFI IMAX E 37
2026-04-28T12:08:20Z,E,36,available,False,BFI IMAX E 36
2026-04-28T12:08:20Z,E,35,available,False,BFI IMAX E 35
2026-04-28T12:08:20Z,E,34,available,False,BFI IMAX E 34
2026-04-28T12:08:20Z,E,33,available,False,BFI IMAX E 33
2026-04-28T12:08:20Z,E,32,available,False,BFI IMAX E 32
2026-04-28T12:08:20Z,E,31,available,False,BFI IMAX E 31
2026-04-28T12:08:20Z,E,30,available,False,BFI IMAX E 30
2026-04-28T12:08:20Z,E,29,available,False,BFI IMAX E 29
2026-04-28T12:08:20Z,E,28,available,False,BFI IMAX E 28
2026-04-28T12:08:20Z,E,27,available,False,BFI IMAX E 27
2026-04-28T12:08:20Z,E,26,available,False,BFI IMAX E 26
2026-04-28T12:08:20Z,E,25,available,False,BFI IMAX E 25
2026-04-28T12:08:20Z,E,24,available,False,BFI IMAX E 24
2026-04-28T12:08:20Z,E,23,available,False,BFI IMAX E 23
2026-04-28T12:08:20Z,E,22,available,False,BFI IMAX E 22
2026-04-28T12:08:20Z,E,21,available,False,BFI IMAX E 21
2026-04-28T12:08:20Z,E,20,available,False,BFI IMAX E 20
2026-04-28T12:08:20Z,E,19,available,False,BFI IMAX E 19
2026-04-28T12:08:20Z,E,18,available,False,BFI IMAX E 18
2026-04-28T12:08:20Z,E,17,available,False,BFI IMAX E 17
2026-04-28T12:08:20Z,E,16,available,False,BFI IMAX E 16
2026-04-28T12:08:20Z,E,15,available,False,BFI IMAX E 15
2026-04-28T12:08:20Z,E,14,available,False,BFI IMAX E 14
2026-04-28T12:08:20Z,E,13,available,False,BFI IMAX E 13
2026-04-28T12:08:20Z,E,12,available,False,BFI IMAX E 12
2026-04-28T12:08:20Z,E,11,available,False,BFI IMAX E 11
2026-04-28T12:08:20Z,E,10,available,False,BFI IMAX E 10
2026-04-28T12:08:20Z,E,9,available,False,BFI IMAX E 9
2026-04-28T12:08:20Z,E,8,available,False,BFI IMAX E 8
2026-04-28T12:08:20Z,E,7,available,False,BFI IMAX E 7
2026-04-28T12:08:20Z,E,6,available,False,BFI IMAX E 6
2026-04-28T12:08:20Z,E,5,available,False,BFI IMAX E 5
2026-04-28T12:08:20Z,E,4,available,False,BFI IMAX E 4
2026-04-28T12:08:20Z,E,3,available,False,BFI IMAX E 3
2026-04-28T12:08:20Z,E,2,available,False,BFI IMAX E 2
2026-04-28T12:08:20Z,E,1,available,False,BFI IMAX E 1
2026-04-28T12:08:20Z,F,38,available,False,BFI IMAX F 38
2026-04-28T12:08:20Z,F,37,available,False,BFI IMAX F 37
2026-04-28T12:08:20Z,F,36,available,False,BFI IMAX F 36
2026-04-28T12:08:20Z,F,35,available,False,BFI IMAX F 35
2026-04-28T12:08:20Z,F,34,available,False,BFI IMAX F 34
2026-04-28T12:08:20Z,F,33,available,False,BFI IMAX F 33
2026-04-28T12:08:20Z,F,32,available,False,BFI IMAX F 32
2026-04-28T12:08:20Z,F,31,available,False,BFI IMAX F 31
2026-04-28T12:08:20Z,F,30,available,False,BFI IMAX F 30
2026-04-28T12:08:20Z,F,29,available,False,BFI IMAX F 29
2026-04-28T12:08:20Z,F,28,available,False,BFI IMAX F 28
2026-04-28T12:08:20Z,F,27,available,False,BFI IMAX F 27
2026-04-28T12:08:20Z,F,26,available,False,BFI IMAX F 26
2026-04-28T12:08:20Z,F,25,available,False,BFI IMAX F 25
2026-04-28T12:08:20Z,F,24,available,False,BFI IMAX F 24
2026-04-28T12:08:20Z,F,23,available,False,BFI IMAX F 23
2026-04-28T12:08:20Z,F,22,available,False,BFI IMAX F 22
2026-04-28T12:08:20Z,F,21,available,False,BFI IMAX F 21
2026-04-28T12:08:20Z,F,20,available,False,BFI IMAX F 20
2026-04-28T12:08:20Z,F,19,available,False,BFI IMAX F 19
2026-04-28T12:08:20Z,F,18,available,False,BFI IMAX F 18
2026-04-28T12:08:20Z,F,17,available,False,BFI IMAX F 17
2026-04-28T12:08:20Z,F,16,available,False,BFI IMAX F 16
2026-04-28T12:08:20Z,F,15,available,False,BFI IMAX F 15
2026-04-28T12:08:20Z,F,14,available,False,BFI IMAX F 14
